Date,Actual,Predicted,Naive
2024-02-29,2356.199951171875,2070.0198955550286,2045.699951171875
2024-03-01,2365.800048828125,2095.7716849108792,2086.89990234375
2024-03-04,2390.800048828125,2117.8237028717067,2117.699951171875
2024-03-05,2371.699951171875,2131.423947027971,2133.5
2024-03-06,2382.300048828125,2141.8075844474615,2150.300048828125
2024-03-07,2398.39990234375,2147.0949466893453,2158.0
2024-03-08,2332.199951171875,2159.7442210996833,2178.60009765625
2024-03-11,2327.699951171875,2164.7744223750424,2182.5
2024-03-12,2324.5,2152.8680559653003,2160.39990234375
2024-03-13,2329.800048828125,2161.2189349093724,2175.39990234375
2024-03-14,2334.800048828125,2155.131453442579,2163.0
2024-03-15,2345.39990234375,2151.3593958340225,2157.300048828125
2024-03-18,2291.39990234375,2151.7911757159372,2160.699951171875
2024-03-19,2299.89990234375,2149.351049414762,2156.300048828125
2024-03-20,2299.199951171875,2150.783294425237,2157.89990234375
2024-03-21,2299.0,2165.7459259849556,2182.39990234375
2024-03-22,2321.60009765625,2155.0277789801175,2158.10009765625
2024-03-25,2315.199951171875,2166.0443520308772,2174.800048828125
2024-03-26,2313.60009765625,2166.637302270875,2175.60009765625
2024-03-27,2332.10009765625,2176.8552277180415,2190.60009765625
2024-03-28,2367.300048828125,2197.2482999762697,2217.39990234375
2024-04-01,2336.10009765625,2213.3620091064686,2236.5
2024-04-02,2353.39990234375,2233.5052045285975,2261.0
2024-04-03,2388.699951171875,2256.106990178464,2294.39990234375
2024-04-04,2380.0,2258.6194485560936,2288.800048828125
2024-04-05,2412.199951171875,2283.5768403445254,2325.699951171875
2024-04-08,2433.89990234375,2291.5548469484684,2331.699951171875
2024-04-09,2421.699951171875,2301.8822613113416,2343.5
2024-04-10,2389.199951171875,2297.214296273528,2329.60009765625
2024-04-11,2335.0,2315.8427157112974,2354.800048828125
2024-04-12,2332.5,2322.553439094132,2356.199951171875
2024-04-15,2355.199951171875,2331.707371687059,2365.800048828125
2024-04-16,2340.300048828125,2348.7878001756008,2390.800048828125
2024-04-17,2342.89990234375,2341.496428710433,2371.699951171875
2024-04-18,2322.89990234375,2344.912394120727,2382.300048828125
2024-04-19,2346.60009765625,2354.865981160616,2398.39990234375
2024-04-22,2325.5,2314.6614657908767,2332.199951171875
2024-04-23,2354.10009765625,2302.2101864837787,2327.699951171875
2024-04-24,2370.300048828125,2299.084808597576,2324.5
2024-04-25,2305.199951171875,2303.219074787412,2329.800048828125
2024-04-26,2307.699951171875,2306.1499041410643,2334.800048828125
2024-04-29,2307.5,2315.304585199601,2345.39990234375
2024-04-30,2336.0,2284.1672256576003,2291.39990234375
2024-05-01,2300.199951171875,2280.5173578351205,2299.89990234375
2024-05-02,2331.39990234375,2281.318323509615,2299.199951171875
2024-05-03,2312.39990234375,2281.981506003769,2299.0
2024-05-06,2330.39990234375,2298.872102929119,2321.60009765625
2024-05-07,2353.800048828125,2301.335528644642,2315.199951171875
2024-05-08,2316.39990234375,2302.5962464650593,2313.60009765625
2024-05-09,2330.0,2314.7270105591588,2332.10009765625
2024-05-10,2316.60009765625,2342.8199046822065,2367.300048828125
2024-05-13,2299.199951171875,2330.8561880826246,2336.10009765625
2024-05-14,2324.5,2339.3004418394084,2353.39990234375
2024-05-15,2327.699951171875,2365.4685083126515,2388.699951171875
2024-05-16,2327.60009765625,2364.3790070472023,2380.0
2024-05-17,2323.0,2384.269617054091,2412.199951171875
2024-05-20,2359.800048828125,2401.139422413162,2433.89990234375
2024-05-21,2388.5,2398.114553976069,2421.699951171875
2024-05-22,2355.199951171875,2375.2612758842415,2389.199951171875
2024-05-23,2360.10009765625,2336.8406467317927,2335.0
2024-05-24,2372.199951171875,2328.719810282827,2332.5
2024-05-28,2415.0,2340.498359056858,2355.199951171875
2024-05-29,2414.0,2335.89785925704,2340.300048828125
2024-05-30,2422.89990234375,2336.8174134077835,2342.89990234375
2024-05-31,2462.39990234375,2322.1135129963413,2322.89990234375
2024-06-03,2454.800048828125,2333.9094248411548,2346.60009765625
2024-06-04,2451.800048828125,2317.049391749555,2325.5
2024-06-05,2395.5,2338.23358820245,2354.10009765625
2024-06-06,2392.0,2350.81057816826,2370.300048828125
2024-06-07,2404.60009765625,2311.8337637397,2305.199951171875
2024-06-10,2413.300048828125,2304.7512302208997,2307.699951171875
2024-06-11,2351.89990234375,2303.5327168721633,2307.5
2024-06-12,2380.0,2323.529194709272,2336.0
2024-06-13,2377.300048828125,2302.784433421345,2300.199951171875
2024-06-14,2405.0,2319.5378509468164,2331.39990234375
2024-06-17,2426.5,2311.817564291453,2312.39990234375
2024-06-18,2435.0,2317.4936597052656,2330.39990234375
2024-06-20,2425.699951171875,2334.9248243215197,2353.800048828125
2024-06-21,2401.699951171875,2316.530585536794,2316.39990234375
2024-06-24,2389.10009765625,2320.919787161577,2330.0
2024-06-25,2390.5,2311.592476513054,2316.60009765625
2024-06-26,2422.199951171875,2299.243094683272,2299.199951171875
2024-06-27,2432.10009765625,2313.9036605356623,2324.5
2024-06-28,2462.39990234375,2319.1256627239054,2327.699951171875
2024-07-01,2466.699951171875,2319.3242076079687,2327.60009765625
2024-07-02,2439.39990234375,2316.5683271294383,2323.0
2024-07-03,2453.10009765625,2343.148693570188,2359.800048828125
2024-07-05,2498.60009765625,2367.793996633406,2388.5
2024-07-08,2501.800048828125,2351.504860772673,2355.199951171875
2024-07-09,2511.300048828125,2351.5045466591,2360.10009765625
2024-07-10,2508.39990234375,2360.392313776568,2372.199951171875
2024-07-11,2478.89990234375,2387.9908430222677,2415.0
2024-07-12,2508.39990234375,2392.615002968513,2414.0
2024-07-15,2517.699951171875,2399.188600146693,2422.89990234375
2024-07-16,2516.0,2425.405686942603,2462.39990234375
2024-07-17,2501.0,2422.878764887141,2454.800048828125
2024-07-18,2525.699951171875,2420.5804950379425,2451.800048828125
2024-07-19,2493.800048828125,2386.950867229839,2395.5
2024-07-22,2489.89990234375,2378.911450191379,2392.0
2024-07-23,2493.39990234375,2385.6571215171307,2404.60009765625
2024-07-24,2511.39990234375,2393.408131526081,2413.300048828125
2024-07-25,2493.5,2357.3052827313186,2351.89990234375
2024-07-26,2501.800048828125,2365.0580511174894,2380.0
2024-07-29,2512.300048828125,2366.554353714804,2377.300048828125
2024-07-30,2512.10009765625,2381.153797162806,2405.0
2024-07-31,2551.199951171875,2398.367520678583,2426.5
2024-08-01,2581.300048828125,2406.8562123867714,2435.0
2024-08-02,2580.39990234375,2402.072009327033,2425.699951171875
2024-08-05,2564.300048828125,2383.648313267063,2401.699951171875
2024-08-06,2570.699951171875,2377.360393051231,2389.10009765625
2024-08-07,2588.0,2376.875910124504,2390.5
2024-08-08,2619.89990234375,2400.040448755096,2422.199951171875
2024-08-09,2626.5,2412.769092638956,2432.10009765625
2024-08-12,2651.199951171875,2433.56870731703,2462.39990234375
2024-08-13,2659.199951171875,2439.878929667747,2466.699951171875
2024-08-14,2669.89990234375,2424.0956399728966,2439.39990234375
2024-08-15,2644.300048828125,2430.351365221187,2453.10009765625
2024-08-16,2636.10009765625,2460.1377479156963,2498.60009765625
2024-08-19,2667.300048828125,2469.620980395175,2501.800048828125
2024-08-20,2647.10009765625,2476.3427568041006,2511.300048828125
2024-08-21,2657.10009765625,2476.0967864111863,2508.39990234375
2024-08-22,2645.800048828125,2458.8194043378226,2478.89990234375
2024-08-23,2644.800048828125,2471.4732096152375,2508.39990234375
2024-08-26,2615.0,2480.7027938637893,2517.699951171875
2024-08-27,2606.0,2483.1481171188507,2516.0
2024-08-28,2620.60009765625,2473.920731452583,2501.0
2024-08-29,2657.60009765625,2486.9216040597266,2525.699951171875
2024-08-30,2647.800048828125,2470.201197597714,2493.800048828125
2024-09-03,2661.39990234375,2462.344946441879,2489.89990234375
2024-09-04,2674.0,2465.1695834384627,2493.39990234375
2024-09-05,2691.0,2477.0802593009003,2511.39990234375
2024-09-06,2713.699951171875,2469.8366741829395,2493.5
2024-09-09,2723.10009765625,2472.6916589078846,2501.800048828125
2024-09-10,2744.199951171875,2482.4881988039115,2512.300048828125
2024-09-11,2714.39990234375,2483.076869640421,2512.10009765625
2024-09-12,2734.89990234375,2507.13832748019,2551.199951171875
2024-09-13,2740.89990234375,2530.5510876479702,2581.300048828125
2024-09-16,2742.89990234375,2534.6841549774726,2580.39990234375
2024-09-17,2768.39990234375,2525.2294413758427,2564.300048828125
2024-09-18,2788.5,2527.713890327371,2570.699951171875
2024-09-19,2738.300048828125,2540.9638430928044,2588.0
2024-09-20,2738.60009765625,2562.987893451971,2619.89990234375
2024-09-23,2736.10009765625,2572.7305862151843,2626.5
2024-09-24,2740.300048828125,2589.486904266275,2651.199951171875
2024-09-25,2667.60009765625,2597.630795242786,2659.199951171875
2024-09-26,2698.39990234375,2605.1133678378956,2669.89990234375
2024-09-27,2687.5,2592.121002453059,2644.300048828125
2024-09-30,2611.199951171875,2585.1011030163236,2636.10009765625
2024-10-01,2600.0,2603.421343372139,2667.300048828125
2024-10-02,2580.800048828125,2596.6642719435413,2647.10009765625
2024-10-03,2568.199951171875,2600.709796714181,2657.10009765625
2024-10-04,2565.699951171875,2596.996495404839,2645.800048828125
2024-10-07,2610.60009765625,2594.7539787327614,2644.800048828125
2024-10-08,2627.10009765625,2574.3120123416775,2615.0
2024-10-09,2648.199951171875,2563.3690097362487,2606.0
2024-10-10,2672.10009765625,2572.6671932966683,2620.60009765625
2024-10-11,2709.89990234375,2596.350632087493,2657.60009765625
2024-10-14,2616.800048828125,2599.809286547824,2647.800048828125
2024-10-15,2620.300048828125,2605.8214113681506,2661.39990234375
2024-10-16,2639.89990234375,2617.145743052509,2674.0
2024-10-17,2657.0,2629.3647338928304,2691.0
2024-10-18,2634.89990234375,2647.5587298023256,2713.699951171875
2024-10-21,2644.699951171875,2660.21950357055,2723.10009765625
2024-10-22,2653.800048828125,2677.754836755398,2744.199951171875
2024-10-23,2626.60009765625,2665.649930913649,2714.39990234375
2024-10-24,2638.60009765625,2674.4926360252393,2734.89990234375
2024-10-25,2664.89990234375,2682.679455890526,2740.89990234375
2024-10-28,2697.60009765625,2686.3424680344096,2742.89990234375
2024-10-29,2733.800048828125,2703.516115223513,2768.39990234375
2024-10-30,2687.5,2720.013151386386,2788.5
2024-10-31,2656.0,2694.817223072376,2738.300048828125
2024-11-01,2651.39990234375,2684.68713853976,2738.60009765625
2024-11-04,2644.39990234375,2684.485334460368,2736.10009765625
2024-11-05,2636.5,2686.4867006736195,2740.300048828125
2024-11-06,2592.199951171875,2643.22562910533,2667.60009765625
2024-11-07,2628.699951171875,2651.24189444122,2698.39990234375
2024-11-08,2612.300048828125,2650.2309595933257,2687.5
2024-11-11,2620.0,2598.563601172821,2611.199951171875
2024-11-12,2638.800048828125,2576.774600513927,2600.0
2024-11-13,2617.199951171875,2559.7632670015337,2580.800048828125
2024-11-14,2606.10009765625,2545.4344829291485,2568.199951171875
2024-11-15,2629.199951171875,2535.824027402522,2565.699951171875
2024-11-18,2658.89990234375,2562.5690732537487,2610.60009765625
2024-11-19,2645.0,2577.2657314791904,2627.10009765625
2024-11-20,2638.39990234375,2590.200112687303,2648.199951171875
2024-11-21,2656.699951171875,2608.9766544785352,2672.10009765625
2024-11-22,2664.5,2637.954757500066,2709.89990234375
2024-11-25,2683.800048828125,2586.63400278219,2616.800048828125
2024-11-26,2708.5,2573.509163817278,2620.300048828125
2024-11-27,2673.5,2587.5230108733194,2639.89990234375
2024-11-29,2677.5,2603.3541542849607,2657.0
2024-12-02,2712.5,2594.787497773498,2634.89990234375
2024-12-03,2746.39990234375,2600.0576352756198,2644.699951171875
2024-12-04,2744.300048828125,2608.2485665853446,2653.800048828125
2024-12-05,2755.0,2588.5835684876874,2626.60009765625
2024-12-06,2767.60009765625,2592.5245282509277,2638.60009765625
2024-12-09,2763.10009765625,2612.486717329225,2664.89990234375
2024-12-10,2777.300048828125,2640.6410724306106,2697.60009765625
2024-12-11,2737.5,2669.4005594787523,2733.800048828125
2024-12-12,2766.800048828125,2650.963916230964,2687.5
2024-12-13,2769.10009765625,2625.8419080782623,2656.0
2024-12-16,2823.0,2617.835925910399,2651.39990234375
2024-12-17,2812.5,2616.1788577585203,2644.39990234375
2024-12-18,2833.89990234375,2613.545416732177,2636.5
2024-12-19,2853.300048828125,2587.8945433079325,2592.199951171875
2024-12-20,2871.60009765625,2604.8575232428493,2628.699951171875
2024-12-23,2856.0,2594.2275900833256,2612.300048828125
2024-12-24,2867.300048828125,2596.0382795361456,2620.0
2024-12-26,2914.300048828125,2611.693692685448,2638.800048828125
