Date,Close,High,Low,Open,Volume,USDINR,DXY,Interest_Rate,CPI,Indian_Gold,MA7,MA30,Lag1,Lag7,Return,Volatility,Target_1,Target_7,Target_30
2015-01-02,1186.0,1194.5,1169.5,1184.0,138,63.02799987792969,91.08000183105469,0.12,236.222,24033.071394521598,,,,,,,1203.9000244140625,1234.300048828125,1208.0999755859375
2015-01-05,1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470,63.27799987792969,91.37999725341797,0.12,236.222,24492.562708588448,,,1186.0,,0.015092769320457444,,1219.300048828125,1234.4000244140625,1199.699951171875
2015-01-06,1219.300048828125,1220.0,1203.5,1203.5,97,63.3380012512207,91.5,0.12,236.222,24829.387568109185,,,1203.9000244140625,,0.012791780132704655,,1210.5999755859375,1264.699951171875,1207.0999755859375
2015-01-07,1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29,63.56800079345703,91.88999938964844,0.12,236.222,24741.74212209162,,,1219.300048828125,,-0.007135301315331799,,1208.4000244140625,1276.9000244140625,1204.4000244140625
2015-01-08,1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92,63.27299880981445,92.37000274658203,0.12,236.222,24582.169317653497,,,1210.5999755859375,,-0.0018172403900885703,,1216.0,1294.199951171875,1200.300048828125
2015-01-09,1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43,62.667999267578125,91.94000244140625,0.12,236.222,24500.247222964797,,,1208.4000244140625,,0.0062892878454074985,,1232.699951171875,1293.699951171875,1196.9000244140625
2015-01-12,1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100,62.347999572753906,91.9800033569336,0.12,236.222,24709.898678914837,1210.9857177734375,,1216.0,,0.013733512476870935,,1234.300048828125,1300.699951171875,1201.0
2015-01-13,1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20,62.06800079345703,92.30999755859375,0.12,236.222,24630.859406054606,1217.8857247488838,,1232.699951171875,1186.0,0.0012980430920994657,,1234.4000244140625,1292.5999755859375,1209.5999755859375
2015-01-14,1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21,61.972999572753906,92.16000366210938,0.12,236.222,24595.15142873677,1222.2428676060267,,1234.300048828125,1203.9000244140625,8.09977979279175e-05,,1264.699951171875,1279.4000244140625,1212.5999755859375
2015-01-15,1264.699951171875,1265.0,1227.300048828125,1231.5,130,62.0880012512207,92.3499984741211,0.12,236.222,25245.631752260615,1228.7285679408483,,1234.4000244140625,1219.300048828125,0.024546278482289408,,1276.9000244140625,1291.699951171875,1207.699951171875
2015-01-16,1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44,62.05799865722656,92.5199966430664,0.12,236.222,25476.84958502789,1238.2000034877233,,1264.699951171875,1210.5999755859375,0.00964661478074924,,1294.199951171875,1285.9000244140625,1204.0
2015-01-20,1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157,61.63800048828125,93.05000305175781,0.12,236.222,25647.260508917,1250.4571358816963,,1276.9000244140625,1208.4000244140625,0.013548380003948202,,1293.699951171875,1254.5999755859375,1200.5999755859375
2015-01-21,1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78,61.64799880981445,92.9000015258789,0.12,236.222,25641.510614048384,1261.55712890625,,1294.199951171875,1216.0,-0.0003863390657272703,,1300.699951171875,1278.5,1195.9000244140625
2015-01-22,1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131,61.553001403808594,94.23999786376953,0.12,236.222,25740.526191083627,1271.2714146205358,,1293.699951171875,1232.699951171875,0.0054108373380235,,1292.5999755859375,1276.199951171875,1164.0999755859375
2015-01-23,1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23,61.597999572753906,95.0,0.12,236.222,25598.93006684201,1279.5999755859375,,1300.699951171875,1234.300048828125,-0.006227397470600193,,1279.4000244140625,1259.699951171875,1166.4000244140625
2015-01-26,1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26,61.43299865722656,94.80000305175781,0.12,236.222,25269.6444475573,1286.0285470145088,,1292.5999755859375,1234.4000244140625,-0.01021193828035738,,1291.699951171875,1263.800048828125,1160.0999755859375
2015-01-27,1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20,61.472999572753906,94.0199966430664,0.12,236.222,25529.194391063997,1289.8856898716517,,1279.4000244140625,1264.699951171875,0.009613824076207589,,1285.9000244140625,1262.0,1150.699951171875
2015-01-28,1285.9000244140625,1286.800048828125,1285.9000244140625,1285.9000244140625,180387,61.40299987792969,94.47000122070312,0.12,236.222,25385.62474858967,1291.1714041573662,,1291.699951171875,1276.9000244140625,-0.004490150171911567,,1254.5999755859375,1233.9000244140625,1152.0999755859375
2015-01-29,1254.5999755859375,1285.4000244140625,1251.0,1283.300048828125,67983,61.35100173950195,94.77999877929688,0.12,236.222,24746.739980062925,1285.5142647879463,,1285.9000244140625,1294.199951171875,-0.02434096604235414,,1278.5,1240.800048828125,1152.5999755859375
2015-01-30,1278.5,1284.300048828125,1257.0,1258.0,8626,61.79600143432617,94.80000305175781,0.12,236.222,25401.079223974735,1283.3428431919642,,1254.5999755859375,1293.699951171875,0.019049916211659745,,1276.199951171875,1231.5999755859375,1153.300048828125
2015-02-02,1276.199951171875,1284.0999755859375,1266.0,1284.0999755859375,1654,62.01300048828125,94.5,0.12,236.222,25444.418546535606,1279.8428431919642,,1278.5,1300.699951171875,-0.0017990213751466477,,1259.699951171875,1219.0,1148.300048828125
2015-02-03,1259.699951171875,1284.699951171875,1255.300048828125,1273.5,2380,61.72800064086914,93.5999984741211,0.12,236.222,25000.0216674299,1275.1428397042412,,1276.199951171875,1292.5999755859375,-0.01292900848714873,,1263.800048828125,1220.0999755859375,1151.4000244140625
2015-02-04,1263.800048828125,1271.5999755859375,1256.800048828125,1262.0,668,61.61399841308594,93.98999786376953,0.12,236.222,25035.070742623226,1272.914271763393,,1259.699951171875,1279.4000244140625,0.00325482084240436,,1262.0,1226.5,1169.0999755859375
2015-02-05,1262.0,1272.5999755859375,1257.800048828125,1271.800048828125,133,61.86000061035156,94.69999694824219,0.12,236.222,25099.226453765346,1268.671421595982,,1263.800048828125,1291.699951171875,-0.001424314573966079,,1233.9000244140625,1208.0999755859375,1184.800048828125
2015-02-06,1233.9000244140625,1267.5999755859375,1228.0,1265.0,432,61.733001708984375,94.69999694824219,0.12,236.222,24489.97994843753,1261.2428501674108,,1262.0,1285.9000244140625,-0.0222662247115194,,1240.800048828125,1199.699951171875,1188.0
2015-02-09,1240.800048828125,1242.300048828125,1235.4000244140625,1237.5,319,61.9630012512207,94.44999694824219,0.12,236.222,24718.6819249904,1259.2714320591517,,1233.9000244140625,1254.5999755859375,0.00559204496112975,,1231.5999755859375,1207.0999755859375,1191.699951171875
2015-02-10,1231.5999755859375,1245.0,1231.199951171875,1237.5,231,62.130001068115234,94.76000213623047,0.12,236.222,24601.52872641074,1252.5714285714287,,1240.800048828125,1278.5,-0.0074146299807744676,,1219.0,1204.4000244140625,1197.300048828125
2015-02-11,1219.0,1237.4000244140625,1219.0,1233.300048828125,102,62.34199905395508,94.98999786376953,0.12,236.222,24432.926690295677,1244.4000069754463,,1231.5999755859375,1276.199951171875,-0.010230574728570474,,1220.0999755859375,1200.300048828125,1205.0999755859375
2015-02-12,1220.0999755859375,1229.800048828125,1217.9000244140625,1217.9000244140625,99,62.38199996948242,94.08999633789062,0.12,236.222,24470.665170064673,1238.7428676060267,,1219.0,1259.699951171875,0.0009023589712366942,,1226.5,1196.9000244140625,1199.800048828125
2015-02-13,1226.5,1232.800048828125,1222.199951171875,1222.199951171875,65,62.16999816894531,94.19999694824219,0.12,236.222,24515.4274052769,1233.4142892020088,1249.736661783854,1220.0999755859375,1263.800048828125,0.005245491797497115,32.434573559473016,1208.0999755859375,1201.0,1184.800048828125
